Stations
Vaughan Metropolitan Centre  
Highway 407  
Pioneer Village  
York University  
Finch West  
Downsview Park  
Sheppard West  
Wilson
Yorkdale
Lawrence West  
Glencairn
Eglinton West  
St Clair West  
Dupont
Spadina
St George  
Museum
Queen's Park  
St Patrick  
Osgoode  
St Andrew  
Union  
King
Queen  
Dundas  
College
Wellesley
Bloor-Yonge  
Rosedale
Summerhill
St Clair  
Davisville  
Eglinton  
Lawrence
York Mills  
Sheppard-Yonge  
North York Centre  
Finch
